,ID,Sex,Primary_index,Secondary_index,Age
76,person_76,Male,2.851638263,4.149749876,24.17156965
77,person_77,Male,2.995179755,6.080437149,48.84697458
78,person_78,Male,4.726030676,3.711154379,28.03194651
79,person_79,Female,1.194187631,3.236826567,44.15508492
80,person_80,Male,2.418652652,4.789122596,28.3330569
81,person_81,Male,3.282790811,3.283004731,55.55089309
82,person_82,Male,2.731098573,4.164798683,51.85511602
83,person_83,Male,3.416743384,3.039014741,46.99489694
84,person_84,Female,1.578489777,3.630667064,36.92400009
85,person_85,Male,3.154446303,3.920040528,68.58064329
86,person_86,Female,1.328534825,1.195091543,55.79440982
87,person_87,Female,2.446574033,4.433198409,21.8832899
88,person_88,Male,3.113226864,4.924192083,35.77530258
89,person_89,Male,3.024107656,3.182230518,43.16711724
90,person_90,Male,2.45550588,6.308369601,22.48900949
91,person_91,Female,2.303126916,4.292325272,21.75316324
92,person_92,Female,0.470711702,1.484294025,30.4693317
93,person_93,Male,2.509804109,5.349236747,48.57650915
94,person_94,Male,1.568871458,4.202752324,54.4409889
95,person_95,Male,2.735045114,6.602577442,36.44631525
96,person_96,Female,2.055677967,4.051226599,53.51830944
97,person_97,Male,3.77394691,4.803290871,39.68466018
98,person_98,Female,1.923332538,4.212630511,64.34894981
99,person_99,Female,3.869703632,3.399497253,25.29076969
100,person_100,Male,1.847262398,4.904071827,40.48803666
101,person_101,Female,2.833876705,2.69810559,20.63619422
102,person_102,Male,3.064950471,5.131807744,30.80397894
103,person_103,Female,3.107047454,3.648054091,35.47682589
104,person_104,Female,0.321229877,4.114068911,35.03803891
105,person_105,Male,3.98275109,3.178024494,55.95405327
106,person_106,Female,2.046494851,3.574469865,24.73815245
107,person_107,Female,2.93262473,3.27447191,40.33777745
108,person_108,Female,2.317074802,3.641246253,39.36231618
109,person_109,Male,3.599682907,4.781552862,65.12284524
110,person_110,Female,1.606483821,2.617583456,29.26948838
111,person_111,Male,2.422378214,5.869280146,44.74488444
112,person_112,Male,3.029072788,4.230126042,51.74613873
113,person_113,Male,2.570766388,4.883146953,68.01011174
114,person_114,Male,3.103881054,4.802408381,25.6868771
115,person_115,Female,0.140270675,3.391954257,33.12800802
116,person_116,Male,2.130870166,6.456465968,21.78056905
117,person_117,Female,2.442609536,3.257643792,58.7685082
118,person_118,Male,3.32516387,2.241871966,64.09018953
119,person_119,Male,3.535657978,4.390250764,41.99824071
120,person_120,Male,2.60867189,5.660170148,36.63710319
121,person_121,Female,1.124372437,3.374678837,29.50808633
122,person_122,Male,2.473193021,4.959871711,64.25832066
123,person_123,Male,2.571971866,3.706095154,33.42101645
124,person_124,Female,0.801305328,3.244310186,56.03784364
125,person_125,Male,2.433029734,5.986141722,32.56772203
126,person_126,Male,2.207748497,4.042742902,39.60189136
127,person_127,Male,1.478600106,4.241955634,69.11796406
128,person_128,Female,1.872150167,4.138989401,46.0029704
129,person_129,Female,1.862109454,4.444561825,64.88029208
130,person_130,Female,2.340673596,1.834222317,67.82230001
131,person_131,Male,2.291564352,5.614613807,30.40956995
132,person_132,Male,1.016224976,3.244032951,46.51728324
133,person_133,Male,2.015952438,5.964809722,35.57431516
134,person_134,Male,5.424304282,3.940279621,36.52222968
135,person_135,Female,2.821115937,2.274647751,30.91048755
136,person_136,Female,2.919987145,0.40181345,55.13716658
137,person_137,Male,4.620886174,4.026181916,36.28884726
138,person_138,Male,3.352016002,4.080328528,45.97664425
139,person_139,Female,2.376401683,3.767482118,50.57120334
140,person_140,Female,2.279787166,2.280414577,64.70128441
141,person_141,Female,1.935338524,4.261716867,42.71591317
142,person_142,Male,2.329442181,3.900195558,27.45754096
143,person_143,Female,1.123553619,3.208912099,60.98165244
144,person_144,Female,3.731974777,3.101009666,37.39161541
145,person_145,Female,1.76508721,1.616856123,23.73039382
146,person_146,Male,4.615044798,4.939190098,56.56434133
147,person_147,Male,2.54316555,5.959826443,36.3394387
148,person_148,Male,2.214108156,4.045986035,61.85587409
149,person_149,Female,1.171818153,4.473948535,58.70935655
150,person_150,Male,1.65367576,5.295166095,50.96931136
151,person_151,Female,4.380004261,4.675582584,22.75992119
152,person_152,Female,-0.350688356,2.919762611,46.04894711
153,person_153,Female,2.037389461,2.992586073,29.32732093
154,person_154,Male,4.258275148,3.243036119,27.35705424
155,person_155,Male,2.517878204,6.466675433,44.42035433
156,person_156,Female,2.618366698,2.767395558,68.77524246
157,person_157,Female,1.153452897,1.805137829,62.02665096
158,person_158,Male,1.311064409,7.080208037,47.91906119
159,person_159,Male,2.730243967,4.235406902,65.3824565
160,person_160,Male,2.936179883,3.07913231,38.20249433
161,person_161,Male,3.269798439,5.919910139,68.18533898
162,person_162,Female,1.521996164,1.883862415,50.61185435
163,person_163,Male,2.192197496,3.806537338,38.60293768
164,person_164,Male,2.074805576,2.775859003,58.11847459
165,person_165,Male,3.219865897,3.927183899,35.62310575
166,person_166,Male,3.282923549,4.431804288,64.38267023
167,person_167,Male,2.283374236,5.144090539,56.46659736
168,person_168,Male,2.537682769,2.996230089,46.705026
169,person_169,Female,2.667557153,0.784228558,59.26501409
170,person_170,Male,3.226427376,6.223103131,54.55428821
171,person_171,Female,1.184038566,4.530005066,30.46334484
172,person_172,Male,2.942128243,5.061974254,49.41558796
173,person_173,Male,2.944882176,4.035901745,33.16661779
174,person_174,Female,4.33031692,1.760804047,32.02743263
175,person_175,Male,2.091454095,4.663512541,39.08178461
176,person_176,Male,2.398409861,4.603641194,67.29252096
177,person_177,Male,2.901826999,3.522139146,64.07661748
178,person_178,Female,1.916985647,2.264215749,53.4665223
179,person_179,Male,1.777349386,5.397362111,32.99861018
180,person_180,Male,2.341614539,3.842896395,56.35631056
181,person_181,Female,2.182192477,3.788345098,44.19198062
182,person_182,Male,2.725442072,3.125446955,30.70766263
183,person_183,Female,0.957796231,2.010448168,48.91904431
184,person_184,Male,3.057140274,2.573223557,41.09654803
185,person_185,Female,2.382293898,3.61783236,50.68707469
186,person_186,Female,1.93388099,1.796591791,69.11117796
187,person_187,Female,1.951755576,3.011466908,52.454017
188,person_188,Female,3.169511998,3.190792975,36.7015582
189,person_189,Female,2.699422442,4.175103328,65.64627695
190,person_190,Female,1.005076689,1.966341752,23.60751387
191,person_191,Female,1.410842798,4.481499678,54.09789217
192,person_192,Male,3.226002117,3.357756435,38.08551254
193,person_193,Female,1.242607211,1.779123155,53.46985786
194,person_194,Female,3.015014968,3.323542611,55.74813157
195,person_195,Female,1.994493759,3.65889333,58.8646125
196,person_196,Male,1.892350729,3.930812462,35.00890455
197,person_197,Male,2.742691945,2.041547791,66.53136577
198,person_198,Female,0.936491695,3.73427989,69.38829285
199,person_199,Male,0.971310642,6.517234302,58.81776195
200,person_200,Female,3.250702235,2.097271758,64.34415416
201,person_201,Female,2.246640785,4.090136446,63.07140387
202,person_202,Female,2.544570211,3.354832467,62.47352908
203,person_203,Female,0.385814171,4.456121665,68.35976213
204,person_204,Male,3.271290537,3.663200359,67.30744519
205,person_205,Female,1.173331031,2.707961571,43.0770623
206,person_206,Male,3.518269361,5.002744402,66.21992835
207,person_207,Female,2.343251813,2.094539878,61.41671304
208,person_208,Male,4.171521573,4.35240854,21.62090044
209,person_209,Male,1.782094065,5.802332418,37.32075752
210,person_210,Female,1.25793598,2.322262452,67.52014483
211,person_211,Female,1.429682587,2.751715337,48.69275504
212,person_212,Male,1.697725179,5.639878342,21.09936255
213,person_213,Male,2.675742518,3.703863956,24.7150393
214,person_214,Male,3.097252151,4.43544912,49.25396572
215,person_215,Male,3.997979687,4.496207375,47.73983387
216,person_216,Male,4.298212599,6.074490508,64.52155319
217,person_217,Male,2.666462963,4.721544775,29.08887318
218,person_218,Male,4.300522297,3.75470141,46.49217963
219,person_219,Female,1.803183409,1.592801449,46.98430266
220,person_220,Male,1.598671581,4.29910479,25.33462747
221,person_221,Male,2.59280142,4.268776128,27.20218311
222,person_222,Male,3.565388572,5.339686239,28.14806016
223,person_223,Female,1.399156599,2.613630775,35.71668409
224,person_224,Male,3.606478283,4.760609699,25.14827054
225,person_225,Male,4.056943005,6.876300516,50.54655079
226,person_226,Male,3.550198654,3.754660131,36.4155295
227,person_227,Female,1.765733221,4.86605311,49.31653647
228,person_228,Male,3.856368868,3.802790187,54.16435934
229,person_229,Female,-0.070273064,1.570608912,67.25983754
230,person_230,Male,2.814871078,5.389927939,67.29709635
231,person_231,Female,0.104535802,2.369835124,68.1486882
232,person_232,Female,2.15830057,3.064406167,40.9075901
233,person_233,Female,1.569383416,1.353674186,68.79610534
234,person_234,Female,4.077159836,3.605399333,28.41404496
235,person_235,Male,3.050593838,6.000702108,37.54884616
236,person_236,Male,1.901026997,5.384090793,55.04857913
237,person_237,Female,1.697209005,2.888593405,35.45481058
238,person_238,Male,2.131633188,5.501436238,61.63124149
239,person_239,Male,3.715774914,3.875640624,31.82783602
240,person_240,Female,2.247178458,5.385793795,40.36751464
241,person_241,Male,2.002562504,4.33897257,23.20665374
242,person_242,Male,3.426479658,2.796977652,58.76087789
243,person_243,Male,3.891438911,4.649653366,56.9868856
244,person_244,Male,2.153534183,3.764673907,22.433484
245,person_245,Male,2.037742867,3.978199391,62.23029516
246,person_246,Male,4.654700865,3.958458864,53.81453446
247,person_247,Male,3.456764336,5.472229297,53.4278784
248,person_248,Female,0.70210967,2.068173169,61.09875249
249,person_249,Male,2.930434999,5.121799137,57.50346322
250,person_250,Male,4.541255441,3.010925748,28.43945843
251,person_251,Female,2.08954982,2.899778989,64.26552345
252,person_252,Male,4.325475907,4.998013861,46.40723819
253,person_253,Male,2.054702998,5.252353374,66.3611
254,person_254,Male,2.97978098,4.06564514,29.57506791
255,person_255,Male,2.581036867,3.306840085,56.81264136
256,person_256,Male,1.846331979,4.262100958,35.91523287
257,person_257,Male,3.585647864,3.89911049,44.62867738
258,person_258,Female,1.677088592,2.464930736,66.29754338
259,person_259,Male,1.785262271,4.637046991,21.8840764
260,person_260,Female,3.764978897,2.887102412,42.20580346
261,person_261,Female,3.115272455,3.195830857,22.9956856
262,person_262,Female,2.942065106,2.158564514,61.64598958
263,person_263,Male,1.668170153,5.422736607,44.57520154
264,person_264,Female,2.919897538,2.575480242,57.46606637
265,person_265,Female,1.784315894,2.306323863,54.29186436
266,person_266,Female,-0.391705473,1.92907562,59.53981334
267,person_267,Female,-0.634701795,2.339188695,67.40148683
268,person_268,Female,2.86049293,3.249153098,21.28605443
269,person_269,Female,1.427412032,1.704437492,63.27136484
270,person_270,Female,1.953155998,2.961948693,25.61211358
271,person_271,Male,3.217160051,3.869418543,27.73062478
272,person_272,Male,4.166509974,4.966012117,53.21730002
273,person_273,Male,2.129867721,4.829743518,37.36284386
274,person_274,Female,2.148394431,2.573032406,46.6752955
275,person_275,Male,2.612100263,6.407111281,67.87013273
276,person_276,Male,3.159367936,3.685128708,24.85327853
277,person_277,Female,1.960845449,4.031835831,31.79009513
278,person_278,Male,3.55984904,4.650746985,51.80008592
279,person_279,Male,1.874963085,4.12049468,26.28143209
280,person_280,Male,2.396892971,2.533419829,31.63428434
281,person_281,Female,1.814963608,1.665301774,54.02914756
282,person_282,Male,2.046053356,3.009599741,27.53773554
283,person_283,Female,2.977790155,0.948035229,55.77329423
284,person_284,Female,2.550339205,2.044809995,50.50686825
285,person_285,Female,2.986027798,2.543205553,54.34004107
286,person_286,Female,3.248238185,3.4608125,40.54692376
287,person_287,Female,0.183413227,2.854715094,54.68616741
288,person_288,Male,2.983130095,6.216028434,68.63895071
289,person_289,Male,2.043014161,2.731593533,56.78394025
290,person_290,Female,0.285797938,1.790664765,29.40787174
291,person_291,Male,2.995505203,6.397014044,34.19555618
292,person_292,Male,1.966070548,6.369906382,42.7999381
293,person_293,Female,1.325642721,2.184808332,35.38815018
294,person_294,Female,0.849815033,4.641878967,50.57073762
295,person_295,Female,2.514662003,4.2530942,60.75237401
296,person_296,Female,2.683777275,2.157699434,68.78657894
297,person_297,Female,1.104668176,4.57871178,65.51782834
298,person_298,Male,1.458347193,5.061089695,60.74943897
299,person_299,Male,3.829670282,4.022554491,60.73211753
300,person_300,Male,0.703270011,3.031146324,52.98882761
301,person_301,Female,2.973133953,1.752211216,26.59408573
302,person_302,Female,1.955160294,1.763568307,62.91350406
303,person_303,Male,2.530361453,5.412518678,31.43870241
304,person_304,Female,1.458409073,3.050013687,33.8884989
305,person_305,Male,2.922977583,5.654762555,30.15026494
306,person_306,Male,2.469585581,3.641416879,28.10641324
307,person_307,Male,1.732784993,4.830213711,36.6181679
308,person_308,Female,0.073000852,3.002032464,64.51485199
309,person_309,Female,2.264690066,3.984904503,54.07201158
310,person_310,Female,2.1670789,2.315597603,29.44745126
311,person_311,Female,1.844209471,2.168902972,68.47491353
312,person_312,Male,4.781751329,6.398080901,22.58963536
313,person_313,Female,0.283546202,3.607052103,44.69643448
314,person_314,Male,2.716175757,4.457279031,65.14820747
315,person_315,Female,1.85730224,3.650097381,46.36776586
316,person_316,Male,3.550467971,3.945815029,49.59237362
317,person_317,Female,5.248096519,1.848123115,63.78831452
318,person_318,Male,4.343574777,3.306575129,49.48289604
319,person_319,Female,2.137832657,3.089401961,54.44963512
320,person_320,Male,3.45986672,5.212989601,54.63844523
321,person_321,Female,2.370926506,4.285268645,20.52946619
322,person_322,Female,0.102054265,3.461540168,43.3599585
323,person_323,Male,3.355224225,4.445112433,47.74142838
324,person_324,Male,3.615468773,5.309220878,60.30914851
325,person_325,Female,2.494390872,3.689977895,21.54225745
326,person_326,Male,2.526841364,4.71284871,34.82449865
327,person_327,Female,2.207214759,4.166187857,65.42773716
328,person_328,Female,0.117113034,3.712239672,46.31551303
329,person_329,Male,2.735630327,4.870553128,69.9278741
330,person_330,Female,1.484693134,3.363803157,53.3744497
331,person_331,Female,1.980814594,4.828481765,28.03801429
332,person_332,Female,1.871794584,3.901646347,40.45490835
333,person_333,Female,2.130727921,3.94529133,21.50706868
334,person_334,Male,3.026708988,3.944652923,28.52939789
335,person_335,Male,4.055944101,2.687059784,43.92101977
336,person_336,Female,1.331044284,3.168965522,52.38438905
337,person_337,Male,3.658307843,2.552204597,36.36719684
338,person_338,Female,2.256248557,3.113684657,61.71383959
339,person_339,Male,3.083562397,3.527482397,69.91955009
340,person_340,Female,2.751103975,3.044095102,42.38787992
341,person_341,Female,3.602765076,2.790793215,27.39276569
342,person_342,Female,2.107816715,2.924865725,52.88547411
343,person_343,Female,1.515683968,4.11371882,55.51848581
344,person_344,Male,3.247105864,3.755275429,33.21928729
345,person_345,Male,3.377445608,5.083101994,22.65306376
346,person_346,Male,2.001696091,4.78790379,44.88626507
347,person_347,Male,3.461649269,6.770469563,53.04712324
348,person_348,Male,2.536836622,4.479925189,57.05502823
349,person_349,Male,2.329908922,6.602873157,42.67042854
350,person_350,Female,1.640208784,4.030671532,52.2563321
351,person_351,Female,2.11706625,0.211058049,33.49335399
352,person_352,Male,4.11070316,5.104566235,60.69509961
353,person_353,Female,-0.689354871,4.948676244,22.97849897
354,person_354,Female,2.595193354,3.839956997,54.33201734
355,person_355,Male,2.473511939,6.125471485,55.84080414
356,person_356,Male,2.457428232,4.429531003,47.07390968
357,person_357,Male,3.594750515,5.78396214,53.37620595
358,person_358,Male,3.889505929,2.702071316,58.46047036
359,person_359,Male,2.437978257,4.613986352,68.97038196
360,person_360,Male,3.019848503,2.858467077,24.90158761
361,person_361,Male,2.817451183,5.219982534,24.46126454
362,person_362,Male,3.031738114,4.284817128,23.22936174
363,person_363,Female,1.001105501,3.755485111,44.24359692
364,person_364,Female,1.80450666,1.164959275,56.33699989
365,person_365,Female,0.674716218,3.852784884,32.19542917
366,person_366,Female,0.570111264,4.506468737,56.2979983
367,person_367,Male,4.683002167,4.866900718,34.95026911
368,person_368,Male,2.252665639,2.580311669,47.15241474
369,person_369,Female,1.776679351,3.515652435,66.44726913
370,person_370,Male,3.739165937,5.216601919,34.39129
371,person_371,Female,2.096598158,5.406587218,31.30501836
372,person_372,Male,2.436116406,6.342278511,30.6458346
373,person_373,Female,3.179402012,2.39263388,33.47032273
374,person_374,Male,2.688485918,4.529828772,42.28102431
375,person_375,Male,3.166250831,3.345472545,30.24442979
376,person_376,Female,2.520857862,2.897956084,49.51813427
377,person_377,Female,3.844300879,1.878928846,48.39695783
378,person_378,Male,2.427095512,4.544490646,58.11067718
379,person_379,Male,2.639456513,4.41898096,66.80386756
380,person_380,Male,2.917384306,3.342854466,38.15150226
381,person_381,Male,3.637641318,3.003645228,25.34997281
382,person_382,Female,2.288700601,2.749782716,37.6057142
383,person_383,Female,0.505637642,2.914472418,34.0913664
384,person_384,Male,2.04798582,4.284648445,36.73981618
385,person_385,Female,2.147179091,2.905341047,37.50939387
386,person_386,Female,1.498774586,2.201764773,32.38127893
387,person_387,Female,2.683119574,2.391067277,57.8468051
388,person_388,Male,3.056457753,4.576295236,37.45979002
389,person_389,Female,0.149648474,3.430099278,43.8339355
390,person_390,Male,2.524534457,4.320974653,41.04661631
391,person_391,Male,2.908634187,5.177526402,40.2941253
392,person_392,Female,1.069728308,5.219161545,42.63543141
393,person_393,Male,2.194126558,3.597367518,29.25745522
394,person_394,Male,1.74572903,5.173407774,34.96942734
395,person_395,Female,2.024546882,4.601115052,64.59132544
396,person_396,Female,5.306156235,4.189554838,36.70281788
397,person_397,Female,1.507648976,3.403853619,47.51507618
398,person_398,Female,2.510832528,3.551683231,53.92634672
399,person_399,Female,2.124569654,4.328310703,55.09314187
400,person_400,Male,3.52272764,3.052709046,37.45629138
401,person_401,Male,2.828553021,4.777326103,54.40783686
402,person_402,Female,2.551505577,1.744844203,64.42043728
403,person_403,Female,3.416326377,1.718629373,39.31099148
404,person_404,Female,1.917598849,2.84475611,33.35976209
405,person_405,Female,2.196845807,2.909977768,34.13824869
406,person_406,Female,-0.036728864,3.770988758,40.46502106
407,person_407,Male,3.375886764,6.237658688,38.33830255
408,person_408,Female,4.481994615,1.278013729,65.60498118
409,person_409,Female,2.344858094,1.668802805,62.75132135
410,person_410,Male,2.67445287,5.13835283,41.02581717
411,person_411,Female,3.431074118,3.288850565,54.55504227
412,person_412,Male,4.458749671,4.889029584,33.10501843
413,person_413,Male,2.648009515,5.850345931,59.34117128
414,person_414,Male,3.647035574,5.100060002,42.13542603
415,person_415,Male,4.501608654,4.192083439,22.81135449
416,person_416,Female,2.098239796,3.107807621,33.58853905
417,person_417,Male,3.440669907,4.625205233,69.51927267
418,person_418,Male,3.809940329,2.887573892,57.58412302
419,person_419,Female,1.721896844,5.43019777,57.87931427
420,person_420,Male,2.743393337,4.29377769,56.53980294
421,person_421,Female,0.967532632,2.357839436,63.54450082
422,person_422,Female,1.879522095,3.4573219,22.43789391
423,person_423,Female,3.494631639,2.703545753,46.21852895
424,person_424,Male,3.570137698,4.458191627,48.72158322
425,person_425,Female,0.916914847,2.83630379,64.32080708
426,person_426,Male,0.72543085,5.215314778,61.69596947
427,person_427,Male,2.905206132,4.856640049,28.75471813
428,person_428,Male,2.33635232,3.590340363,66.50436863
429,person_429,Female,1.747565499,3.455805245,41.53286217
430,person_430,Female,2.365818512,2.898506519,40.62506963
431,person_431,Male,2.417040226,4.251768593,53.25777352
432,person_432,Male,2.736052051,4.633985467,34.5339046
433,person_433,Female,2.074113063,2.643334655,33.85507018
434,person_434,Female,1.482333077,2.174882485,48.75931693
435,person_435,Male,3.310182435,4.498398006,53.23304764
436,person_436,Female,0.710692614,2.714347463,55.91885007
437,person_437,Female,2.143515334,3.255786633,40.37899413
438,person_438,Female,0.238844498,4.524667345,69.50057286
439,person_439,Male,4.485996773,4.84245289,29.24577775
440,person_440,Male,2.554083159,3.496730723,36.86775378
441,person_441,Female,1.436922506,2.934093079,50.29133079
442,person_442,Female,2.324174895,3.423671208,47.66414225
443,person_443,Female,1.110297165,2.238612034,64.02295083
444,person_444,Male,3.703712002,4.085330971,21.93537885
445,person_445,Female,2.348083897,4.266311593,56.97134084
446,person_446,Female,2.818748322,1.293823524,57.7220598
447,person_447,Female,1.47707482,3.035421072,22.660319
448,person_448,Male,3.557036628,4.675908635,23.47124821
449,person_449,Female,3.033478612,2.481965767,22.65865109
450,person_450,Male,3.550553568,3.823283578,34.80045258
451,person_451,Female,1.900752153,4.45866572,31.45212776
452,person_452,Female,1.171828602,2.592932825,69.57178512
453,person_453,Male,5.184768488,3.212215955,65.72373319
454,person_454,Male,3.251081843,4.899985638,51.13363108
455,person_455,Male,2.719602367,5.394366633,31.15342088
456,person_456,Female,3.426730485,2.008340438,46.2830421
457,person_457,Male,4.307061672,5.718996307,68.4034781
458,person_458,Female,2.206073267,2.124762537,54.00682971
459,person_459,Male,2.542355314,4.167245933,25.06339498
460,person_460,Male,3.100083582,4.76404178,31.24704499
461,person_461,Male,2.50590858,4.633926417,40.09813738
462,person_462,Female,1.766861514,4.938938704,59.81818986
463,person_463,Female,2.951709535,1.239664952,68.76481837
464,person_464,Male,2.677208948,3.612577332,44.15299535
465,person_465,Male,3.373241691,3.527928943,33.36841752
466,person_466,Male,2.696572769,4.649824067,49.86962734
467,person_467,Female,2.256434822,2.938239875,65.5445621
468,person_468,Female,1.538186483,1.937124494,65.66410427
469,person_469,Male,3.730844571,3.579054336,60.01502632
470,person_470,Female,3.543750671,3.68648598,65.13281673
471,person_471,Male,2.611406268,3.863924084,33.55598305
472,person_472,Female,1.282850992,4.501712679,60.72064176
473,person_473,Female,1.793905849,2.834492677,45.99748865
474,person_474,Male,3.055211482,4.799110127,21.47334087
475,person_475,Female,1.318943837,3.212132825,31.87842657
476,person_476,Female,0.364086945,3.168645004,63.43696131
477,person_477,Male,3.224716979,4.492954401,45.62364808
478,person_478,Female,1.95297046,3.281793902,62.08405741
479,person_479,Male,4.255050685,5.088844886,67.91393669
480,person_480,Female,1.689063922,2.949787246,28.54667876
481,person_481,Male,4.49870507,5.048964535,60.06286039
482,person_482,Male,4.137159649,4.50286354,37.46994816
483,person_483,Female,2.349906285,2.547940641,51.57673718
484,person_484,Male,2.915728529,5.977391516,36.54028861
485,person_485,Male,1.149264655,3.172216508,46.13404138
486,person_486,Male,4.617671864,4.178667958,27.11912713
487,person_487,Female,1.542525417,2.401767731,54.72015971
488,person_488,Female,0.815509551,2.222301003,33.59291831
489,person_489,Female,2.92964365,1.37850437,41.09597282
490,person_490,Male,3.806108856,3.909031839,41.73700667
491,person_491,Male,2.180485742,4.406915108,50.09267286
492,person_492,Female,2.250968467,0.519515805,42.74950497
493,person_493,Male,3.874430923,3.877366228,60.1184304
494,person_494,Male,2.896939888,2.949069509,31.4417432
495,person_495,Female,2.080818896,3.709962776,40.72777675
496,person_496,Male,3.069994034,4.287267522,55.0061467
497,person_497,Female,1.827076481,3.327368849,49.43322745
498,person_498,Male,3.77136745,3.461051334,42.1824382
499,person_499,Female,-0.51631989,3.715134622,45.14690399
500,person_500,Female,1.533639122,2.195500826,67.61336986
501,person_501,Female,0.465456552,3.128837278,27.313776
502,person_502,Male,1.964053114,3.520734596,45.35689179
503,person_503,Female,2.488332737,4.134095647,22.743479
504,person_504,Male,3.559820054,5.046593748,29.18060488
505,person_505,Female,1.57279809,4.342785834,59.78777183
506,person_506,Male,3.848426371,1.836681866,56.86679726
507,person_507,Male,1.139270724,3.654543761,57.41454614
508,person_508,Male,4.582945316,3.460849048,69.6509583
509,person_509,Male,2.297690574,2.360305697,31.41494164
510,person_510,Male,3.720678018,5.963975583,25.19112184
511,person_511,Female,2.582964021,2.602810599,32.84656157
512,person_512,Female,2.406845841,2.95160739,65.835546
513,person_513,Female,2.291393639,2.431052193,66.26458605
514,person_514,Female,2.901436584,2.771378421,50.35854322
515,person_515,Female,1.489105552,4.095184844,45.48748346
516,person_516,Male,3.338689722,3.767919466,36.28477691
